colname,label,type,primary_display,tooltip
contig,Contig,int,Y,
contig_length,Length,int,Y,
blastn_taxonomy,Megablast taxonomy,,Y,
blastn_pident,Megablast %ID,float,Y,
blastx_taxonomy,BlastX taxonomy,,Y,
blastx_pident,BlastX %ID,float,Y,
virus_score,Genomad virus score,float,Y,
RdRp,RdRp,,Y,
ORFs,ORFs,int,Y,
PFAM_total,Domains,int,Y,
n_hallmarks,Hallmark genes,,Y,
genomad_taxonomy,Genomad taxonomy,,Y,
kraken_unclassified_matches,Kraken Unclassified Matches,,Y,
kaiju_unclassified_matches,Kaiju Unclassified Matches,,Y,
