colname,label,type,primary_display,tooltip
taxon,Species,,Y,
max_mapping_read_count_spp,Mapped reads per species (max),int,Y,Max mapped reads per species
kraken_reads,Kraken reads,int,Y,
kaiju_reads,Kaiju reads,int,Y,
max_pc_mapping_reads_spp,% mapped reads per species (max),float,Y,
kraken_pc_reads,Kraken % reads,float,Y,
kaiju_pc_reads,Kaiju % reads,float,Y,
ncontigs_per_spp,Contigs per species,int,Y,
max_pident_spp,Max % identity per species,float,Y,
max_qlen_spp,Max query length per species,int,Y,
contig_seq,Contig rep sequence per species,,Y,Contig representative per species
normalised_conf_score,Norm conf score for contig rep,float,Y,Normalised confidence score for contig representative
max_PFAM_total_spp,Max PFAM count per species,int,Y,Max total viral PFAM domain count identified for a contig in this species
species_has_RdRp,RDRP identified,bool,Y,At least one RdRp domain was identified in a contig for this species
max_reference_length_spp,Max reference length per species,int,Y,Max length of reference sequence identified for this species by blasting contigs
max_pc_cov_30X_spp,Max % coverage (30X) per species,float,Y,Max % coverage (30X) for this species based on mapping back reads to reference sequences identified by blast
max_normalised_conf_score_spp,Max normalised confidence score per species,float,Y,Max normalised confidence score for this species based on mapping reads back to reference sequences identified by blast
qseqid,Contig name,,,
